,0
KMID,0
KLEN,0
KMID2,0
KUP,0
KUP2,0
KLOW,0
KLOW2,0
KSFT,0
KSFT2,0
OPEN0,0
HIGH0,0
LOW0,0
VWAP0,0
ROC5,5
MA5,4
STD5,4
BETA5,4
RSQR5,4
RESI5,4
MAX5,4
MIN5,4
QTLU5,4
QTLD5,4
RANK5,4
RSV5,4
IMAX5,4
IMIN5,4
IMXD5,4
CORR5,4
CORD5,5
CNTP5,4
SUMP5,4
VMA5,4
VSTD5,4
WVMA5,5
VSUMP5,4
ROC10,10
MA10,9
STD10,9
BETA10,9
RSQR10,9
RESI10,9
MAX10,9
MIN10,9
QTLU10,9
QTLD10,9
RANK10,9
RSV10,9
IMAX10,9
IMIN10,9
IMXD10,9
CORR10,9
CORD10,10
CNTP10,9
SUMP10,9
VMA10,9
VSTD10,9
WVMA10,10
VSUMP10,9
ROC20,20
MA20,19
STD20,19
BETA20,19
RSQR20,19
RESI20,19
MAX20,19
MIN20,19
QTLU20,19
QTLD20,19
RANK20,19
RSV20,19
IMAX20,19
IMIN20,19
IMXD20,19
CORR20,19
CORD20,20
CNTP20,19
SUMP20,19
VMA20,19
VSTD20,19
WVMA20,20
VSUMP20,19
ROC30,30
MA30,29
STD30,29
BETA30,29
RSQR30,29
RESI30,29
MAX30,29
MIN30,29
QTLU30,29
QTLD30,29
RANK30,29
RSV30,29
IMAX30,29
IMIN30,29
IMXD30,29
CORR30,29
CORD30,30
CNTP30,29
SUMP30,29
VMA30,29
VSTD30,29
WVMA30,30
VSUMP30,29
ROC60,60
MA60,59
STD60,59
BETA60,59
RSQR60,59
RESI60,59
MAX60,59
MIN60,59
QTLU60,59
QTLD60,59
RANK60,59
RSV60,59
IMAX60,59
IMIN60,59
IMXD60,59
CORR60,59
CORD60,60
CNTP60,59
SUMP60,59
VMA60,59
VSTD60,59
WVMA60,60
VSUMP60,59
